SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
IFPI,Instituto Federal do Piauí,Campus Parnaíba,2006,PI,Parnaíba,-2.90585,-41.7754
IFPI,Instituto Federal do Piauí,Campus Picos,2006,PI,Picos,-7.07721,-41.467
IFBA,Instituto Federal da Bahia,Campus Porto Seguro,2006,BA,Porto Seguro,-16.4435,-39.0643
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Maria da Graça,2006,RJ,Rio de Janeiro,-22.9129,-43.2003
IFSP,Instituto Federal de São Paulo,Campus Salto,2006,SP,Salto,-23.1996,-47.2931
IFBA,Instituto Federal da Bahia,Campus Santo Amaro,2006,BA,Santo Amaro,-12.5472,-38.7137
IFSP,Instituto Federal de São Paulo,Campus São João da Boa Vista,2006,SP,São João da Boa Vista,-21.9707,-46.7944
IFES,Instituto Federal do Espírito Santo,Campus São Mateus,2006,ES,São Mateus,-18.7214,-39.8579
IFBA,Instituto Federal da Bahia,Campus Simões Filho,2006,BA,Simões Filho,-12.7866,-38.4029
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Timóteo,2006,MG,Timóteo,-19.5811,-42.6471
IFMA,Instituto Federal do Maranhão,Campus Zé Doca,2006,MA,Zé Doca,-3.27014,-45.6553
IFBA,Instituto Federal da Bahia,Campus Camaçari,2007,BA,Camaçari,-12.6996,-38.3263
IFPB,Instituto Federal da Paraíba,Campus Campina Grande,2007,PB,Campina Grande,-7.22196,-35.8731
IFPE,Instituto Federal de Pernambuco,Campus Ipojuca,2007,PE,Ipojuca,-8.39303,-35.0609
IFRN,Instituto Federal do Rio Grande do Norte,Campus Natal Zona Norte,2007,RN,Natal,-5.79357,-35.1986
IFSul,Instituto Federal Sul-rio-grandense,Campus Passo Fundo,2007,RS,Passo Fundo,-28.2576,-52.4091
IF Farroupilha,Instituto Federal Farroupilha,Campus Santo Augusto,2007,RS,Santo Augusto,-27.8526,-53.7776
IFSP,Instituto Federal de São Paulo,Campus São Carlos - IFSP,2007,SP,São Carlos,-22.0174,-47.886
IFSP,Instituto Federal de São Paulo,Campus São Carlos - IFSP,2007,SP,São Carlos,-27.0798,-53.0037
IFPA,Instituto Federal do Pará,Campus Abaetetuba,2008,PA,Abaetetuba,-1.72183,-48.8788
IFES,Instituto Federal do Espírito Santo,Campus Aracruz,2008,ES,Aracruz,-19.82,-40.2764
IFSC,Instituto Federal de Santa Catarina,Campus Araranguá,2008,SC,Araranguá,-28.9356,-49.4918
IFPE,Instituto Federal de Pernambuco,Campus Barreiros,2008,PE,Barreiros,-8.81605,-35.1832
IFPE,Instituto Federal de Pernambuco,Campus Belo Jardim,2008,PE,Belo Jardim,-8.3313,-36.4258
